sample_id	cluster_id	estimated_counts	abundance	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species_subgroup	species_group
barcode17_120_filtered	120	1424.1540053510375	0.030462535675194916	2873268	Hephaestia mangrovi	Hephaestia	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode17_120_filtered	120	174.1848788393941	0.0037258000650123866	1632740	Sphingomonas zeicaulis	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode17_120_filtered	158	29.30222491463565	0.0006267721527803823	2175090	Sphingomonas pokkalii	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode17_120_filtered	120	37.80890698737712	0.0008087293745027298	397260	Sphingomonas sanxanigenens	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode17_120_filtered	158	21.313228969531135	0.00045588819425319534	2741495	Sphingomonas hominis	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode17_120_filtered	120	279.9837610519077	0.005988829352354125	2305907	Sphingomonas gilva	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode17_120_filtered	220	16.44923135722018	0.0003518476900434254	1395957	Sphingobium endophyticum	Sphingobium	Sphingobiaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode17_120_filtered	38	50.878505668453656	0.0010882870028117828	49338	Desulfitobacterium hafniense	Desulfitobacterium	Desulfitobacteriaceae	Eubacteriales	Clostridia	Bacillota					
barcode17_120_filtered	16	23.442955665104687	0.0005014428710638208	3375356	Desulfitobacterium nosdiversum	Desulfitobacterium	Desulfitobacteriaceae	Eubacteriales	Clostridia	Bacillota					
barcode17_120_filtered	139	41.54937882346972	0.0008887377558441472	651663	Sphingopyxis bauzanensis	Sphingopyxis	Sphingopyxidaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode17_120_filtered	139	37.41183097723528	0.0008002359516852106	2871171	Sphingopyxis jiangsuensis	Sphingopyxis	Sphingopyxidaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode17_120_filtered	139	77.56374874322312	0.0016590821317880497	173675	Sphingopyxis witflariensis	Sphingopyxis	Sphingopyxidaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode17_120_filtered	22	38.138906455991105	0.000815788035678191	335605	Sphingomonas rosea	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode17_120_filtered	192	17.1428495070916	0.00036668412455544483	1664572	Sphingomonas piscinae	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode17_120_filtered	22	140.37689921957718	0.003002650193997501	2992113	Sphingomonas arvum	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
