sample_id	cluster_id	abundance	Kingdom	Phylum	Class	Order	Family	Genus	Species	ncbi tax number	read_count
barcode19	236	0.000326086869		Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Dioszegia	Dioszegia kandeliae	2877738	14.0
barcode19	275	0.000357379350		Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Starmerella	Starmerella vitae	2596947	15.3
barcode19	58	0.001412352474		Mucoromycota	Endogonomycetes	Endogonales	Endogonaceae	Endogone	Endogone botryocarpus	2704021	60.4
barcode19	139	0.000317470410		Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	Puccinia setariae	1904434	13.6
barcode19	76	0.001799035049		Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Starmerella	Starmerella lactis-condensi	45562	77.0
barcode19	95	0.000534791613		Basidiomycota	Classiculomycetes	Classiculales	Classiculaceae	Classicula	Classicula sinensis	2027812	22.9
barcode19	280	0.000336904042		Basidiomycota	Agaricomycetes	Agaricales		Tricholomopsis	Tricholomopsis osiliensis	1133749	14.4
barcode19	39	0.000687294342		Basidiomycota	Ustilaginomycetes	Ustilaginales		Kalmanozyma	Kalmanozyma brasiliensis	1392244	29.4
barcode19	85	0.000359222113		Mucoromycota		Calcarisporiellales	Calcarisporiellaceae	Calcarisporiella	Calcarisporiella thermophila	911321	15.4
barcode19	294	0.000556053150		Chytridiomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Buwchfawromyces	Buwchfawromyces eastonii	512029	23.8
barcode19	112	0.000489699573		Chytridiomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Pecoramyces	Pecoramyces ruminantium	1987568	21.0
barcode19	32	0.001718425347		Chytridiomycota	Chytridiomycetes	Lobulomycetales	Lobulomycetaceae	Alogomyces	Alogomyces tanneri	1395665	73.5
barcode19	72	0.000566083447		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Suhomyces	Suhomyces kunorum	246081	24.2
barcode19	102	0.000748078407		Basidiomycota	Atractiellomycetes	Atractiellales	Hoehnelomycetaceae	Atractiella	Atractiella rhizophila	1938712	32.0
barcode19	258	0.000997318029		Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella sugadairana	2991538	42.7
barcode19	143	0.000638368170		Basidiomycota	Microbotryomycetes		Chrysozymaceae	Trigonosporomyces	Trigonosporomyces hylophilus	114775	27.3
barcode19	182	0.000311985793		Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	Curvularia colbranii	2211346	13.4
barcode19	19	0.000303752512		Ascomycota	Sordariomycetes		Atractosporaceae	Atractospora	Atractospora decumbens	1809268	13.0
barcode19	44	0.001116720510		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Yamadazyma	[Candida] blattariae	297794	47.8
barcode19	43	0.000467817566		Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum abscissum	1671311	20.0
barcode19	264	0.000439817547		Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	Hannaella pagnoccae	1651791	18.8
barcode19	15	0.000376947020		Ascomycota	Dothideomycetes	Hysteriales	Hysteriaceae	Gloniopsis	Gloniopsis leucaenae	2499430	16.1
